Diet Plan Name,Meal Type,Calories,Protein (g),Carbs (g),Fat (g),Suitable For
Beef Stir Fry,Lunch,442,36.7,60.7,25.8,Vegan
Greek Yogurt Parfait,Snack,434,29.7,59.5,28.4,Vegan
Tofu Stir Fry,Lunch,335,16.5,53.5,17.8,Weight Loss
Keto Bacon Omelette,Lunch,473,11.8,66.5,7.2,Keto
Quinoa Salad,Lunch,569,19.2,39.0,13.6,Balanced Diet
Pasta Primavera,Lunch,576,39.9,33.8,7.8,Low Carb
Stuffed Bell Peppers,Breakfast,564,25.4,67.3,13.9,High Protein
Egg White Omelette,Lunch,417,32.2,44.3,16.9,Keto
Greek Yogurt Parfait,Snack,670,25.1,25.6,21.3,High Protein
Chickpea Curry,Breakfast,685,12.1,11.0,22.3,Muscle Gain
Oatmeal with Berries,Lunch,279,13.9,54.5,15.3,Weight Loss
Egg White Omelette,Breakfast,454,28.8,62.2,20.1,Balanced Diet
Vegan Buddha Bowl,Breakfast,445,14.9,18.2,11.7,Balanced Diet
Chickpea Curry,Lunch,498,28.2,61.7,11.5,High Protein
Tofu Stir Fry,Snack,357,38.2,55.4,10.4,Vegan
Shrimp Tacos,Dinner,597,11.4,61.9,10.4,Balanced Diet
Stuffed Bell Peppers,Snack,508,14.4,68.1,15.5,Keto
Fruit and Nut Mix,Dinner,344,10.8,28.1,23.2,Vegan
Beef Stir Fry,Dinner,321,29.9,19.1,14.5,Keto
Chickpea Curry,Breakfast,512,21.3,15.6,6.7,High Protein
Vegan Lentil Soup,Lunch,714,20.7,18.1,29.6,Muscle Gain
Oatmeal with Berries,Snack,432,34.5,64.1,23.0,Weight Loss
Vegan Buddha Bowl,Breakfast,475,19.2,21.4,26.8,Vegan
Egg White Omelette,Lunch,737,10.5,50.9,7.0,Muscle Gain
Stuffed Bell Peppers,Breakfast,445,11.2,36.8,15.3,Vegan
Pasta Primavera,Breakfast,315,34.4,12.8,21.9,Vegan
Chickpea Curry,Lunch,689,20.1,29.7,13.7,Muscle Gain
Oatmeal with Berries,Snack,484,12.1,21.8,14.9,Vegan
Salmon and Veggies,Dinner,401,17.3,43.1,20.4,Weight Loss
Pasta Primavera,Lunch,492,29.8,60.6,19.3,High Protein
Beef Stir Fry,Breakfast,366,10.2,66.8,15.2,Vegan
Oatmeal with Berries,Snack,470,34.4,43.7,16.6,Low Carb
Stuffed Bell Peppers,Breakfast,395,20.6,15.8,23.7,Weight Loss
Quinoa Salad,Snack,385,15.7,30.8,28.2,Weight Loss
Avocado Toast,Snack,374,21.6,30.0,5.9,Keto
Fruit and Nut Mix,Lunch,308,31.4,29.1,7.6,Weight Loss
Egg White Omelette,Dinner,428,19.3,54.3,16.4,Weight Loss
Egg White Omelette,Snack,478,23.8,68.9,16.8,Balanced Diet
Quinoa Salad,Lunch,554,21.3,36.7,18.9,High Protein
Turkey Sandwich,Lunch,528,16.6,22.2,16.1,Low Carb
Chickpea Curry,Snack,347,24.7,12.7,26.1,Vegan
Tofu Stir Fry,Lunch,447,31.1,12.0,12.5,Keto
Chickpea Curry,Lunch,396,18.5,27.8,11.2,Weight Loss
Pasta Primavera,Snack,661,27.3,39.3,13.8,Balanced Diet
Shrimp Tacos,Snack,450,24.5,66.3,14.2,Balanced Diet
Pasta Primavera,Lunch,334,12.4,63.1,25.2,Keto
Grilled Chicken Salad,Snack,669,11.5,34.8,9.2,Balanced Diet
Grilled Chicken Salad,Lunch,683,21.0,50.9,29.0,Balanced Diet
Beef Stir Fry,Dinner,574,31.2,24.4,23.4,Balanced Diet
Turkey Sandwich,Snack,462,38.6,55.2,12.2,High Protein
Shrimp Tacos,Dinner,403,23.2,10.4,28.1,Balanced Diet
Oatmeal with Berries,Dinner,432,17.3,36.3,28.7,Low Carb
Oatmeal with Berries,Breakfast,421,14.3,60.4,25.1,Balanced Diet
Oatmeal with Berries,Dinner,666,21.9,50.3,28.9,Muscle Gain
Egg White Omelette,Snack,617,33.4,53.0,16.3,Muscle Gain
Beef Stir Fry,Breakfast,444,35.5,64.7,13.5,Low Carb
Pasta Primavera,Lunch,517,17.4,50.1,6.4,Vegan
Sweet Potato Bowl,Lunch,676,11.8,49.2,11.0,Low Carb
Grilled Chicken Salad,Lunch,586,30.4,54.7,28.8,Balanced Diet
Stuffed Bell Peppers,Snack,450,22.6,24.6,13.3,Balanced Diet
Fruit and Nut Mix,Dinner,405,19.2,49.3,24.8,Vegan
Fruit and Nut Mix,Breakfast,458,38.8,51.9,8.9,Vegan
Beef Stir Fry,Snack,362,37.7,65.2,23.6,Weight Loss
Avocado Toast,Snack,527,14.8,36.3,15.8,Balanced Diet
Keto Bacon Omelette,Dinner,420,11.6,10.5,25.8,Keto
Salmon and Veggies,Dinner,798,14.6,33.7,26.4,Muscle Gain
Tofu Stir Fry,Dinner,415,18.3,13.2,23.2,Weight Loss
Salmon and Veggies,Lunch,696,32.0,11.7,24.3,High Protein
Avocado Toast,Lunch,428,37.1,37.6,28.1,High Protein
Grilled Chicken Salad,Snack,437,33.7,64.8,20.8,Weight Loss
Sweet Potato Bowl,Lunch,367,30.4,33.0,13.2,Keto
Keto Bacon Omelette,Snack,443,14.4,60.5,21.8,Balanced Diet
Tofu Stir Fry,Snack,727,10.8,16.7,5.8,Muscle Gain
Salmon and Veggies,Snack,356,25.6,59.8,8.1,Weight Loss
Protein Smoothie,Dinner,419,29.8,38.9,10.1,Low Carb
Protein Smoothie,Snack,660,32.2,38.7,7.7,Balanced Diet
Tofu Stir Fry,Dinner,624,22.3,50.6,16.2,High Protein
Quinoa Salad,Breakfast,582,11.4,15.9,14.7,Balanced Diet
Chickpea Curry,Snack,656,19.5,47.6,16.2,Low Carb
Vegan Lentil Soup,Breakfast,678,23.2,15.7,25.2,Muscle Gain
Chickpea Curry,Dinner,626,33.5,64.6,16.4,High Protein
Fruit and Nut Mix,Dinner,694,23.7,28.7,9.2,Balanced Diet
Turkey Sandwich,Snack,465,16.3,30.5,8.2,Low Carb
Stuffed Bell Peppers,Dinner,699,38.9,40.5,26.1,Muscle Gain
Vegan Buddha Bowl,Snack,521,29.1,43.0,19.1,Vegan
Egg White Omelette,Lunch,428,33.1,56.6,9.9,Keto
Grilled Chicken Salad,Dinner,569,25.5,67.7,19.9,Keto
Vegan Lentil Soup,Breakfast,451,13.8,38.3,8.1,Balanced Diet
Chickpea Curry,Snack,505,20.3,14.6,29.5,Keto
Quinoa Salad,Dinner,321,27.9,51.3,21.7,Weight Loss
Beef Stir Fry,Lunch,762,31.6,19.7,19.1,Muscle Gain
Tofu Stir Fry,Snack,536,31.6,63.0,19.5,Low Carb
Shrimp Tacos,Lunch,694,30.7,17.5,17.9,Muscle Gain
Chickpea Curry,Breakfast,443,10.4,46.0,8.4,Balanced Diet
Grilled Chicken Salad,Breakfast,751,31.4,53.9,18.6,Muscle Gain
Shrimp Tacos,Dinner,446,31.6,29.1,17.3,Low Carb
Oatmeal with Berries,Lunch,507,22.9,56.1,20.0,Low Carb
Beef Stir Fry,Dinner,644,25.8,21.3,17.6,Balanced Diet
Keto Bacon Omelette,Breakfast,605,35.1,15.1,19.4,Low Carb
Quinoa Salad,Snack,680,26.0,31.7,18.5,Low Carb
Fruit and Nut Mix,Lunch,571,32.6,30.4,15.2,Keto
Salmon and Veggies,Dinner,445,28.5,47.7,17.1,Balanced Diet
Protein Smoothie,Breakfast,313,13.7,32.9,7.8,Weight Loss
Oatmeal with Berries,Breakfast,274,14.6,25.4,15.3,Weight Loss
Beef Stir Fry,Dinner,325,14.8,61.0,6.3,Vegan
Egg White Omelette,Dinner,625,24.9,65.4,26.4,Muscle Gain
Keto Bacon Omelette,Lunch,673,12.6,60.1,25.5,Muscle Gain
Beef Stir Fry,Snack,281,29.9,47.1,8.1,Weight Loss
Grilled Chicken Salad,Breakfast,572,13.4,50.9,15.1,Low Carb
Turkey Sandwich,Dinner,406,14.2,68.4,13.9,Vegan
Sweet Potato Bowl,Lunch,645,24.4,52.0,12.9,Low Carb
Grilled Chicken Salad,Dinner,489,16.7,60.7,23.1,Vegan
Grilled Chicken Salad,Snack,344,27.4,26.9,19.0,Weight Loss
Avocado Toast,Snack,665,18.1,53.1,23.8,Low Carb
Avocado Toast,Snack,665,37.5,68.8,29.8,High Protein
Tofu Stir Fry,Snack,489,30.1,34.1,16.5,Low Carb
Salmon and Veggies,Dinner,500,38.3,58.6,29.9,Low Carb
Vegan Buddha Bowl,Breakfast,346,10.2,64.5,12.2,Weight Loss
Quinoa Salad,Snack,320,38.9,25.8,6.7,Vegan
Tofu Stir Fry,Lunch,435,33.2,35.1,6.0,Vegan
Keto Bacon Omelette,Snack,534,18.1,66.0,9.3,Keto
Vegan Buddha Bowl,Snack,531,21.1,38.7,8.9,Keto
Vegan Lentil Soup,Lunch,420,19.4,23.7,13.0,Weight Loss
Shrimp Tacos,Lunch,626,16.0,14.5,11.6,High Protein
Salmon and Veggies,Breakfast,416,21.3,22.6,10.2,High Protein
Stuffed Bell Peppers,Dinner,523,38.3,36.4,13.5,High Protein
Oatmeal with Berries,Snack,629,22.4,13.2,22.2,High Protein
Oatmeal with Berries,Lunch,670,30.7,11.1,13.5,High Protein
Grilled Chicken Salad,Dinner,476,12.1,60.1,6.6,Low Carb
Keto Bacon Omelette,Dinner,455,31.8,19.0,27.0,Keto
Beef Stir Fry,Lunch,422,29.7,26.8,12.3,Balanced Diet
Pasta Primavera,Snack,449,36.0,31.1,27.2,Weight Loss
Avocado Toast,Snack,337,30.4,19.5,23.3,Vegan
Keto Bacon Omelette,Snack,416,36.1,20.1,7.7,Balanced Diet
Egg White Omelette,Lunch,500,22.9,28.5,11.9,High Protein
Quinoa Salad,Breakfast,798,19.3,57.9,15.4,Muscle Gain
Chickpea Curry,Snack,327,21.7,20.9,18.4,Weight Loss
Fruit and Nut Mix,Breakfast,327,29.0,41.3,20.5,Vegan
Shrimp Tacos,Breakfast,422,23.2,62.4,6.8,High Protein
Quinoa Salad,Snack,682,26.4,40.3,21.9,High Protein
Pasta Primavera,Dinner,595,32.7,10.8,22.0,Low Carb
Keto Bacon Omelette,Breakfast,585,13.3,68.0,16.9,Low Carb
Salmon and Veggies,Lunch,785,15.2,51.2,29.2,Muscle Gain
Turkey Sandwich,Breakfast,455,30.7,33.0,9.7,Low Carb
Quinoa Salad,Dinner,410,35.5,59.9,6.2,Vegan
Keto Bacon Omelette,Snack,583,21.4,13.7,6.2,High Protein
Avocado Toast,Lunch,470,27.0,66.9,12.6,Vegan
Pasta Primavera,Dinner,489,29.6,10.5,23.8,High Protein
Egg White Omelette,Breakfast,315,36.5,25.3,22.2,Weight Loss
Oatmeal with Berries,Snack,411,14.9,62.3,23.4,Weight Loss
Pasta Primavera,Snack,323,27.9,19.2,28.9,Vegan
Pasta Primavera,Breakfast,410,38.2,20.6,29.5,Balanced Diet
Chickpea Curry,Dinner,519,39.2,23.9,24.8,Balanced Diet
Tofu Stir Fry,Breakfast,408,11.7,52.0,18.7,Keto
Stuffed Bell Peppers,Dinner,297,29.5,51.1,28.9,Weight Loss
Salmon and Veggies,Snack,738,34.0,32.4,24.2,Muscle Gain
Vegan Lentil Soup,Dinner,634,21.4,27.3,18.8,Muscle Gain
Stuffed Bell Peppers,Lunch,409,16.6,11.6,20.3,Weight Loss
Stuffed Bell Peppers,Dinner,539,13.5,19.8,16.6,Muscle Gain
Vegan Lentil Soup,Snack,296,39.3,35.4,17.5,Weight Loss
Egg White Omelette,Breakfast,609,25.9,30.5,20.4,High Protein
Grilled Chicken Salad,Lunch,415,38.2,31.4,16.6,Keto
Sweet Potato Bowl,Lunch,308,31.9,27.3,25.0,Keto
Tofu Stir Fry,Lunch,501,15.5,15.2,12.7,High Protein
Stuffed Bell Peppers,Breakfast,252,28.6,47.7,5.7,Weight Loss
Sweet Potato Bowl,Dinner,624,12.4,26.7,27.2,High Protein
Pasta Primavera,Dinner,419,33.2,41.5,15.9,Low Carb
Chickpea Curry,Breakfast,739,27.7,18.3,29.9,Muscle Gain
Pasta Primavera,Snack,400,13.6,53.2,5.4,High Protein
Turkey Sandwich,Breakfast,645,13.5,37.5,22.9,High Protein
Quinoa Salad,Snack,518,29.3,63.5,28.9,Balanced Diet
Egg White Omelette,Lunch,504,37.9,51.2,7.9,Keto
Quinoa Salad,Breakfast,415,32.7,68.4,16.6,Weight Loss
Vegan Lentil Soup,Breakfast,682,21.6,21.1,27.9,Muscle Gain
Egg White Omelette,Dinner,589,33.0,48.2,11.5,High Protein
Turkey Sandwich,Breakfast,512,14.6,62.4,12.3,Balanced Diet
Vegan Buddha Bowl,Snack,597,18.0,53.3,5.3,Muscle Gain
Vegan Buddha Bowl,Snack,507,13.5,37.7,19.9,Vegan
Egg White Omelette,Breakfast,334,21.4,69.9,14.1,Vegan
Salmon and Veggies,Snack,509,18.2,56.2,24.7,Muscle Gain
Salmon and Veggies,Breakfast,442,25.7,55.7,27.8,Keto
Stuffed Bell Peppers,Snack,501,23.3,55.0,6.6,Vegan
Turkey Sandwich,Breakfast,757,15.1,29.9,26.4,Muscle Gain
Shrimp Tacos,Lunch,544,37.2,48.6,13.2,Keto
Salmon and Veggies,Dinner,352,15.2,42.2,22.9,Weight Loss
Vegan Buddha Bowl,Dinner,679,18.9,30.4,23.6,Balanced Diet
Vegan Buddha Bowl,Lunch,393,11.6,26.8,17.2,Weight Loss
Grilled Chicken Salad,Dinner,641,35.3,60.7,27.2,Balanced Diet
Turkey Sandwich,Breakfast,373,10.3,41.5,6.9,Weight Loss
Oatmeal with Berries,Dinner,380,28.9,17.2,18.3,Vegan
Protein Smoothie,Dinner,377,20.5,56.8,7.4,Weight Loss
Grilled Chicken Salad,Lunch,328,10.8,36.4,14.9,Weight Loss
Grilled Chicken Salad,Dinner,562,13.8,55.6,6.2,Balanced Diet
Avocado Toast,Lunch,632,19.3,48.7,18.1,Low Carb
Vegan Buddha Bowl,Breakfast,610,28.4,55.3,27.7,High Protein
Shrimp Tacos,Lunch,354,34.7,64.6,5.9,Vegan
Turkey Sandwich,Dinner,604,12.6,29.6,24.4,High Protein
Pasta Primavera,Breakfast,402,20.5,27.0,6.5,Low Carb
Egg White Omelette,Lunch,659,13.4,18.9,19.1,Low Carb
Vegan Buddha Bowl,Dinner,267,21.3,11.9,6.3,Weight Loss
Pasta Primavera,Dinner,387,21.9,19.9,8.3,Keto
Quinoa Salad,Dinner,647,13.4,50.6,17.9,Balanced Diet
Egg White Omelette,Breakfast,397,34.1,64.8,24.0,Weight Loss
Sweet Potato Bowl,Lunch,408,23.6,28.7,27.7,Weight Loss
Oatmeal with Berries,Dinner,515,29.9,11.4,24.9,Muscle Gain
Sweet Potato Bowl,Snack,481,33.4,29.8,21.8,Keto
Salmon and Veggies,Snack,512,24.9,48.1,25.8,Low Carb
Salmon and Veggies,Snack,453,39.3,58.5,15.7,Low Carb
Avocado Toast,Breakfast,656,35.7,27.4,16.4,Balanced Diet
Tofu Stir Fry,Snack,598,39.2,11.7,9.8,Muscle Gain
Vegan Lentil Soup,Breakfast,305,25.3,13.7,24.2,Vegan
Grilled Chicken Salad,Dinner,273,29.1,45.2,22.0,Weight Loss
Oatmeal with Berries,Dinner,407,22.9,55.8,18.1,Vegan
Quinoa Salad,Breakfast,632,10.1,35.5,28.1,High Protein
Beef Stir Fry,Breakfast,254,14.4,61.9,23.7,Weight Loss
Avocado Toast,Lunch,649,12.8,14.9,28.7,Muscle Gain
Chickpea Curry,Dinner,691,20.6,53.7,18.8,Low Carb
Shrimp Tacos,Dinner,460,11.4,33.6,14.9,High Protein
Vegan Lentil Soup,Snack,470,13.5,24.1,26.6,Low Carb
Vegan Lentil Soup,Lunch,478,29.1,30.9,17.7,High Protein
Keto Bacon Omelette,Breakfast,515,12.7,33.0,9.4,Muscle Gain
Greek Yogurt Parfait,Breakfast,475,18.6,47.2,29.7,Low Carb
Chickpea Curry,Snack,482,13.8,68.4,27.5,Balanced Diet
Turkey Sandwich,Snack,608,22.1,37.0,20.7,Low Carb
Vegan Buddha Bowl,Snack,312,38.8,49.9,27.9,Vegan
Salmon and Veggies,Lunch,591,23.2,18.4,22.6,Muscle Gain
Protein Smoothie,Snack,630,19.4,14.4,16.8,Low Carb
Avocado Toast,Dinner,622,33.3,30.1,10.8,Balanced Diet
Fruit and Nut Mix,Dinner,583,21.9,11.0,9.4,Muscle Gain
Protein Smoothie,Dinner,586,15.7,30.9,25.0,Muscle Gain
Chickpea Curry,Breakfast,578,37.4,64.6,16.8,Balanced Diet
Vegan Lentil Soup,Breakfast,495,35.6,34.9,25.8,Low Carb
Greek Yogurt Parfait,Dinner,535,31.4,52.7,25.4,Muscle Gain
Stuffed Bell Peppers,Dinner,658,14.7,19.1,18.9,Muscle Gain
Vegan Buddha Bowl,Snack,426,26.7,24.1,21.5,Weight Loss
Greek Yogurt Parfait,Dinner,556,11.0,18.0,29.1,Keto
Greek Yogurt Parfait,Lunch,556,34.1,31.5,26.2,Balanced Diet
Keto Bacon Omelette,Snack,563,17.7,10.8,13.0,Balanced Diet
Protein Smoothie,Snack,571,35.8,16.3,5.9,Muscle Gain
Shrimp Tacos,Lunch,561,30.1,29.1,9.7,High Protein
Sweet Potato Bowl,Snack,408,26.9,49.6,23.4,Weight Loss
Egg White Omelette,Lunch,429,39.2,37.3,21.1,Keto
Chickpea Curry,Dinner,541,26.4,32.4,14.9,High Protein
Avocado Toast,Dinner,577,30.7,27.2,14.6,High Protein
Stuffed Bell Peppers,Snack,597,19.9,32.0,24.1,High Protein
Beef Stir Fry,Lunch,466,35.1,18.8,24.6,Keto
Turkey Sandwich,Snack,755,34.5,67.6,24.4,Muscle Gain
Stuffed Bell Peppers,Dinner,471,20.1,69.9,15.7,Balanced Diet
Protein Smoothie,Lunch,575,37.2,14.9,26.0,Balanced Diet
Sweet Potato Bowl,Breakfast,345,21.2,14.5,11.1,Weight Loss
Egg White Omelette,Lunch,449,23.6,11.6,23.2,Vegan
Vegan Lentil Soup,Snack,627,36.8,43.5,10.6,Balanced Diet
Protein Smoothie,Breakfast,634,34.6,66.9,28.9,High Protein
Stuffed Bell Peppers,Breakfast,655,26.2,40.6,25.3,Muscle Gain
Greek Yogurt Parfait,Dinner,278,23.5,26.6,14.5,Weight Loss
Sweet Potato Bowl,Dinner,292,30.5,20.8,24.9,Weight Loss
Vegan Lentil Soup,Snack,565,30.9,26.7,14.0,Keto
Avocado Toast,Lunch,776,34.1,38.1,20.7,Muscle Gain
Greek Yogurt Parfait,Lunch,471,11.8,27.6,6.5,Balanced Diet
Vegan Lentil Soup,Dinner,507,21.6,37.8,22.3,High Protein
Stuffed Bell Peppers,Lunch,252,17.1,10.1,19.4,Weight Loss
Tofu Stir Fry,Snack,435,30.0,30.6,25.2,Keto
Vegan Buddha Bowl,Lunch,510,26.0,64.7,5.1,Keto
Oatmeal with Berries,Breakfast,501,33.7,36.5,17.2,Low Carb
Fruit and Nut Mix,Dinner,557,12.1,41.7,25.9,Keto
Quinoa Salad,Dinner,619,21.9,16.2,17.0,Muscle Gain
Beef Stir Fry,Dinner,555,30.7,30.9,27.9,Muscle Gain
Shrimp Tacos,Lunch,692,38.7,25.1,10.4,High Protein
Oatmeal with Berries,Snack,493,36.9,25.6,25.7,Low Carb
Tofu Stir Fry,Lunch,660,26.6,66.0,23.3,Muscle Gain
Pasta Primavera,Breakfast,302,17.6,29.6,13.6,Weight Loss
Turkey Sandwich,Dinner,755,14.8,57.8,25.6,Muscle Gain
Tofu Stir Fry,Dinner,554,37.4,19.4,21.0,High Protein
Egg White Omelette,Dinner,588,17.8,21.6,5.1,Balanced Diet
Turkey Sandwich,Breakfast,372,20.7,19.8,26.1,Keto
Stuffed Bell Peppers,Lunch,614,30.3,13.3,18.1,Muscle Gain
Quinoa Salad,Snack,677,18.8,68.2,11.2,Muscle Gain
Oatmeal with Berries,Snack,348,14.1,24.1,12.2,Weight Loss
Avocado Toast,Lunch,259,10.1,34.6,11.2,Weight Loss
Beef Stir Fry,Lunch,538,32.2,28.5,17.8,Vegan
Pasta Primavera,Dinner,632,19.3,47.8,24.9,Balanced Diet
Fruit and Nut Mix,Snack,394,24.2,69.4,25.6,Weight Loss
Quinoa Salad,Breakfast,642,24.7,44.4,12.5,Low Carb
Shrimp Tacos,Lunch,545,12.5,16.6,20.4,Vegan
Tofu Stir Fry,Breakfast,323,14.5,15.4,19.8,Keto
Pasta Primavera,Snack,610,24.2,42.0,14.0,Low Carb
Chickpea Curry,Dinner,404,29.0,35.9,19.1,Keto
Pasta Primavera,Lunch,490,22.7,32.7,27.5,High Protein
Oatmeal with Berries,Dinner,558,25.2,39.2,20.3,Balanced Diet
Stuffed Bell Peppers,Dinner,587,28.9,37.3,14.7,Low Carb
Protein Smoothie,Lunch,630,17.8,20.6,25.2,Balanced Diet
Chickpea Curry,Snack,412,21.9,64.7,29.7,Keto
Quinoa Salad,Dinner,274,20.3,18.7,24.1,Weight Loss
Protein Smoothie,Lunch,630,15.5,47.3,14.2,High Protein
Pasta Primavera,Snack,615,14.2,14.4,16.6,Low Carb
Greek Yogurt Parfait,Lunch,327,35.0,57.3,6.9,Weight Loss
Beef Stir Fry,Lunch,553,11.3,34.7,21.5,Balanced Diet
Keto Bacon Omelette,Breakfast,688,26.1,10.4,29.1,Low Carb
Pasta Primavera,Lunch,487,30.7,66.5,22.2,Vegan
Chickpea Curry,Lunch,402,39.1,67.8,21.7,Weight Loss
Quinoa Salad,Snack,340,35.2,40.1,24.3,Weight Loss
Tofu Stir Fry,Breakfast,413,35.2,20.0,14.4,Balanced Diet
Keto Bacon Omelette,Lunch,456,29.7,10.7,18.8,Vegan
Salmon and Veggies,Breakfast,412,26.7,18.1,17.8,Low Carb
Avocado Toast,Lunch,634,20.2,17.2,5.9,Balanced Diet
Tofu Stir Fry,Breakfast,480,29.0,34.9,9.9,Vegan
Pasta Primavera,Breakfast,457,24.6,54.8,19.2,Low Carb
Quinoa Salad,Snack,389,30.9,57.7,29.7,Weight Loss
Egg White Omelette,Lunch,317,17.3,56.3,28.8,Keto
Vegan Lentil Soup,Snack,475,16.6,68.9,13.2,Vegan
Keto Bacon Omelette,Snack,554,30.1,52.7,20.0,Balanced Diet
Quinoa Salad,Dinner,582,17.6,62.4,15.2,Balanced Diet
Sweet Potato Bowl,Dinner,465,18.8,55.2,19.7,High Protein
Grilled Chicken Salad,Breakfast,326,33.6,55.2,12.0,Keto
Tofu Stir Fry,Snack,335,28.2,66.1,28.8,Vegan
Oatmeal with Berries,Lunch,660,11.3,34.9,24.4,Low Carb
Grilled Chicken Salad,Dinner,493,14.7,36.1,22.1,Keto
Shrimp Tacos,Breakfast,657,19.8,49.3,13.8,High Protein
Pasta Primavera,Dinner,666,26.9,15.9,14.4,Low Carb
Stuffed Bell Peppers,Dinner,526,31.8,68.5,29.3,Keto
Shrimp Tacos,Dinner,525,30.9,65.6,15.7,Muscle Gain
Stuffed Bell Peppers,Breakfast,355,33.8,68.7,21.0,Weight Loss
Stuffed Bell Peppers,Breakfast,695,37.2,29.9,24.7,Low Carb
Pasta Primavera,Breakfast,366,29.9,21.6,6.0,Keto
Egg White Omelette,Dinner,557,32.9,40.6,23.8,Balanced Diet
Salmon and Veggies,Snack,565,14.4,43.8,5.1,Low Carb
Vegan Buddha Bowl,Dinner,324,18.3,32.6,21.6,Weight Loss
Shrimp Tacos,Dinner,683,23.6,64.6,20.1,Balanced Diet
Tofu Stir Fry,Snack,716,12.6,38.6,16.3,Muscle Gain
Pasta Primavera,Lunch,520,11.5,63.4,22.8,Low Carb
Sweet Potato Bowl,Snack,526,36.4,53.8,7.6,Keto
